Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Viet Nam,VNM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.800403131,1.950599075,2.162230813,2.387814049,2.420792373,2.949586532,3.488039818,3.589588132,3.447766333,3.259415781
Viet Nam,VNM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,8324.198713,8751.882806,9248.023961,9743.188223,10290.54871,10936.89379,11628.61391,11851.39657,12048.90199,12979.7639
Viet Nam,VNM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,674.6781651,745.6335318,679.445924,738.8795334,757.4799799,885.6468418,987.2714724,991.2812325,962.1995249,1023.057136
Viet Nam,VNM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,32.429,33.115,33.809,34.51,35.213,35.919,36.628,37.34,38.052,38.766
Indonesia,IDN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.856457769,1.951327933,1.957253132,1.916191466,2.003829799,2.2132714,2.338843803,2.162413586,2.237793601,2.355083578
Indonesia,IDN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,10121.81415,10504.38694,10893.66211,11319.66343,11772.57433,12262.23103,12757.78509,12388.54493,12757.07464,13334.26539
Indonesia,IDN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,696.1928077,704.653772,698.6607376,718.5795349,755.3513042,826.03866,844.8700394,848.4367662,896.8135349,953.6539285
Indonesia,IDN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.955,52.635,53.313,53.989,54.659,55.325,55.985,56.641,57.29,57.934
Philippines,PHL,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.954798182,1.002138153,1.074529342,1.136202587,1.254372781,1.290932531,1.334754958,1.211622667,1.287227915,1.321805599
Philippines,PHL,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,7016.538465,7340.361586,7691.763087,8131.825379,8584.136227,9016.286596,9452.293972,8455.184571,8857.789951,9457.103954
Philippines,PHL,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,443.2697193,465.6258864,499.0707763,520.9808508,544.4751998,554.4982835,551.8665498,518.1567758,530.9879807,550.793804
Philippines,PHL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,45.903,46.093,46.284,46.475,46.682,46.907,47.149,47.408,47.684,47.977
Thailand,THA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,3.950864766,3.878392056,3.965614507,3.895124461,3.891777294,3.847028358,3.976937477,3.83072746,3.729278541,3.845649053
Thailand,THA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,18242.42567,18324.61447,18811.99751,19370.60878,20094.67788,20879.90278,21277.83927,19957.25714,20242.77,20762.79526
Thailand,THA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1943.92304,1926.225826,1932.67391,1985.005309,1988.137815,1951.855636,1989.812342,1884.350737,1848.063361,1867.469683
Thailand,THA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.193,46.943,47.694,48.448,49.2,49.949,50.692,51.43,52.163,52.889
Malaysia,MYS,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,7.862517944,8.192060128,8.098172953,7.787692769,7.351561292,7.728767131,7.631655249,7.477034667,7.552400286,7.907148055
Malaysia,MYS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,25736.35256,26818.43173,27699.62789,28425.37076,29551.54576,30459.96553,31300.50866,29200.45263,29822.84918,32079.15152
Malaysia,MYS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2869.769116,2879.923522,2706.926963,2759.172283,2617.764623,2839.452448,2878.298885,2722.603166,2793.499535,2867.096519
Malaysia,MYS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,72.93,73.577,74.213,74.84,75.447,76.036,76.607,77.16,77.696,78.214
Cambodia,KHM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.375176135,0.456504779,0.544957,0.668090053,0.737163303,0.757988468,0.962005191,0.992486072,0.988405711,1.008881435
Cambodia,KHM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4419.398868,4702.730618,4968.572767,5283.729649,5632.031256,6050.590883,6448.88456,6128.782438,6225.532655,6458.368149
Cambodia,KHM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,337.7788875,359.9495246,379.745574,412.7476524,418.9536163,440.9496259,489.367825,516.1167177,501.3309772,501.6441362
Cambodia,KHM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,21.415,21.799,22.188,22.582,22.98,23.388,23.805,24.232,24.668,25.114
India,IND,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.607627302,1.709121301,1.70187478,1.713881972,1.789997318,1.871823689,1.830078925,1.653299904,1.802062141,1.92281182
India,IND,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,5732.241891,6079.843935,6488.146029,6940.625889,7326.606937,7714.339747,7930.09113,7399.530681,8050.018575,8594.391905
India,IND,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,577.2546216,610.1653718,622.339884,627.273531,648.0147183,668.3033702,666.9773475,632.2398285,676.8142935,727.9022001
India,IND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,32.003,32.384,32.777,33.182,33.6,34.03,34.472,34.926,35.393,35.872
Bangladesh,BGD,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.460371266,0.485151359,0.53600763,0.584386984,0.622894753,0.645077045,0.655345934,0.616107742,0.695944755,0.732520444
Bangladesh,BGD,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4822.726214,5068.639657,5352.711333,5682.535535,6005.707188,6392.59334,6838.326116,7015.197928,7441.06914,7888.163891
Bangladesh,BGD,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,218.9350592,224.1071499,237.7131636,255.9235488,260.8802861,257.8738895,273.3400233,272.0765721,292.4872195,297.1183563
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,32.762,33.535,34.308,35.083,35.858,36.632,37.405,38.177,38.946,39.711
Pakistan,PAK,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.761674184,0.789553024,0.820351031,0.893837153,0.955178532,0.891393768,0.862094996,0.946681903,0.988583071,0.897331151
Pakistan,PAK,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4407.147058,4520.234634,4645.286311,4886.612121,5031.560607,5255.063507,5295.952951,5135.014593,5367.273647,5526.279283
Pakistan,PAK,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,421.5471981,433.4183157,437.1132549,446.8314971,456.0173609,453.5139786,431.5157573,454.250318,465.0294914,470.7234965
