Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Bangladesh,BGD,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.460371266,0.485151359,0.53600763,0.584386984,0.622894753,0.645077045,0.655345934,0.616107742,0.695944755,0.732520444
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,32.762,33.535,34.308,35.083,35.858,36.632,37.405,38.177,38.946,39.711
Bangladesh,BGD,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,218.9350592,224.1071499,237.7131636,255.9235488,260.8802861,257.8738895,273.3400233,272.0765721,292.4872195,297.1183563
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,958.2629898,1094.461997,1224.386477,1649.283809,1811.082217,1965.243727,2129.79897,2248.850788,2482.849178,2716.485928
Cambodia,KHM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.375176135,0.456504779,0.544957,0.668090053,0.737163303,0.757988468,0.962005191,0.992486072,0.988405711,1.008881435
Cambodia,KHM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,21.415,21.799,22.188,22.582,22.98,23.388,23.805,24.232,24.668,25.114
Cambodia,KHM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,337.7788875,359.9495246,379.745574,412.7476524,418.9536163,440.9496259,489.367825,516.1167177,501.3309772,501.6441362
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,1305.660097,1431.563965,1547.320104,1675.195557,1826.353917,2036.673776,2225.877055,2081.739142,2167.403242,2325.0305
Pakistan,PAK,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.761674184,0.789553024,0.820351031,0.893837153,0.955178532,0.891393768,0.862094996,0.946681903,0.988583071,0.897331151
Pakistan,PAK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.613,35.819,36.026,36.234,36.442,36.666,36.907,37.165,37.44,37.731
Pakistan,PAK,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,421.5471981,433.4183157,437.1132549,446.8314971,456.0173609,453.5139786,431.5157573,454.250318,465.0294914,470.7234965
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,1225.434012,1266.613408,1380.470208,1424.691612,1519.234595,1569.338146,1390.41691,1278.397352,1455.319224,1538.322813
